endereco,preco,condominio,tamanho_m2,quartos,banheiros,vagas
"Rua Getúlio das Neves - Jardim Botânico, Rio de Janeiro - RJ",1.630.000,1.800,"
                92
              ","2
","3
","1
"
"Rua Silveira Martins, 123 - Flamengo, Rio de Janeiro - RJ",619.000,555,"
                72
              ","3
","2
","--
"
"Estrada de Jacarepaguá, 7280 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",270.000,250,"
                69
              ","3
","1
","1
"
"Rua Barata Ribeiro - Copacabana, Rio de Janeiro - RJ",1.770.000,1.600,"
                150
              ","3
","3
","1
"
"Rua Dona Delfina, 47 - Tijuca, Rio de Janeiro - RJ",950.000,1.400,"
                105
              ","3
","3
","2
"
"Rua Marquesa de Santos, 95 - Laranjeiras, Rio de Janeiro - RJ",1.429.623,,"
                93-180
              ","2-4
","2-3
","2
"
"Praia dos Tamoios, 295 - Paquetá, Rio de Janeiro - RJ",215.000,,"
                45
              ","1
","2
","--
"
"Rua Afonso Cláudio, 10 - Pitangueiras, Rio de Janeiro - RJ",780.000,,"
                185
              ","6
","4
","1
"
"Avenida Bartolomeu Mitre, 122 - Leblon, Rio de Janeiro - RJ",1.970.000,2.400,"
                117
              ","3
","2
","1
"
"Rua Olinda Ellis, 514 - Campo Grande, Rio de Janeiro - RJ",350.000,546,"
                65
              ","2
","2
","1
"
"Rua Belfort Roxo, 58 - Copacabana, Rio de Janeiro - RJ",700.000,540,"
                46
              ","1
","1
","--
"
"Avenida Fernando Mattos - Barra da Tijuca, Rio de Janeiro - RJ",2.350.000,,"
                190
              ","3
","3
","2
"
"Rua das Laranjeiras, 139 - Laranjeiras, Rio de Janeiro - RJ",R$,,"
                71-201
              ","2-3
","2
","1-2
"
"Rua Conde de Bonfim, 549 - Tijuca, Rio de Janeiro - RJ",890.000,780,"
                110
              ","3
","4
","2
"
"Rua Enes de Sousa - Tijuca, Rio de Janeiro - RJ",980.000,,"
                375
              ","3
","4
","--
"
"Rua República do Peru, 481 - Copacabana, Rio de Janeiro - RJ",1.380.000,1.300,"
                100
              ","3
","3
","1
"
"Rua Nascimento Silva - Ipanema, Rio de Janeiro - RJ",1.350.000,1.400,"
                94
              ","1
","2
","1
"
"Avenida Maracanã, 1334 - Tijuca, Rio de Janeiro - RJ",1.990.000,1.800,"
                280
              ","3
","2
","1
"
"Estrada Cachamorra, 2011 - Campo Grande, Rio de Janeiro - RJ",390.000,500,"
                70
              ","3
","2
","1
"
"Rua Aires Saldanha - Copacabana, Rio de Janeiro - RJ",2.700.000,2.100,"
                287
              ","3
","4
","1
"
"Rua das Laranjeiras, 139 - Laranjeiras, Rio de Janeiro - RJ",Consulta,,"
                71-201
              ","2-4
","1
","--
"
